Item Code,Item Name,Barcode,Cost,VAT.Rsp,GP.%,Qty,Category,Supplier,Brand
6030095,GATSBY WATER GLOSS- WHITE-SOFT 150GM,4902806000276,3.94,5.5,28.41%,3,Hair Gel,GEM PLAZA LLC,GATSBY
6030108,GATSBY WATER GLOSS- RED SOFT 150GM,4902806008944,3.94,5.0,21.25%,4,Hair Gel,GEM PLAZA LLC,GATSBY
6030109,GATSBY WATER GLOSS- YELLOW SUPER HARD 150GM,4902806000313,3.94,5.0,21.25%,4,Hair Gel,GEM PLAZA LLC,GATSBY
6030110,GATSBY SET & KEEP SPRAY 250ML,4902806008036,12.6,15.95,21.00%,11,After Shave Fragrance,GEM PLAZA LLC,GATSBY
6030115,JUNSUI NATURALS FACIAL WASH -NEEM 100GM,8992222300346,6.11,7.5,18.53%,14,Face Wash,GEM PLAZA LLC,JUNSUI
6030116,JUNSUI NATURALS FACIAL WASH -OIL CONTROL 100GM,8992222300353,6.04,8.5,28.97%,1,Face Wash,GEM PLAZA LLC,JUNSUI
6030390,AL AMEERA TAHINA 400 GM,6297000107004,7.17,8.9996,20.27%,9,Other Baking Aids & Mix,ABDULLA AL KHATTAL GENERAL TRADING,AL AMEER
6030451,GEEPAS 1894 MICROWAVE OVEN MANUAL 20L,6294010881344,165.41,199.0,16.88%,2,MicroWaves,WESTERN INTERNATIONAL LLC,GEEPAS
6030628,SABAYA EDP 50 ML,6291110016195,4.99,5.95,16.18%,7,Eau De Perfume – Ladies,FRAGRANCE WORLD TRADING L LC,AL REHAB
6030790,FAIR AND LOVELY ADVANCED +FACE WASH FREE 50G,6281006074743,14.7,18.3225,19.77%,0,Face Cream & Lotion,SOUQ AL SAFA SUPERMARKET,NO BRAND
6030803,ALMARAI FRESH YOGHURT 500GM,6281007032872,3.92,4.25,7.85%,6,Plain Yoghurt,ALMARAI EMIRATES COMPANY LLC,ALMARAI
6030805,ALMARAI FRESH LOWFAT 500GM,6281007035040,3.92,4.25,7.85%,11,Plain Yoghurt,ALMARAI EMIRATES COMPANY LLC,ALMARAI
6030809,GEEPAS BLENDER 1.5 LTR GSB5409,6294010885335,44.1,49.99,11.78%,22,Blenders & Mixers,WESTERN INTERNATIONAL LLC,GEEPAS
6031046,CASIO MTP-1381D-1AVDF,4971850984665,103.95,179.0,41.93%,1,CASIO,AL-WIFAQ GENERAL TRADING LLC,CASIO
6031093,CASIO MTP-1314D-2AVDF,4971850930778,81.9,189.0,56.67%,1,CASIO,JUMBO ELECTRONICS CO LTD,CASIO
6031150,CASIO  MTP-1303D-7BVDF-1330,4971850445722,77.7,179.0,56.59%,1,CASIO,JUMBO ELECTRONICS CO LTD,CASIO
6031186,CASIO  LTP-1303D-9AVDF-1330,4971850446224,76.65,159.0,51.79%,1,CASIO,JUMBO ELECTRONICS CO LTD,CASIO
6031196,CASIO  LTP-V005GL-9A-5361,4971850057468,48.3,99.0,51.21%,1,CASIO,JUMBO ELECTRONICS CO LTD,CASIO
6031263,AL MADINA NUTMEG JAIPHAL,82972,23.52,34.0001,30.82%,0,SPICES (WEIGHED),ASIA LINK FOODSTUFF TRADING L.L.C,DC BULK
6031320,ENCHANTEUR EDT 100ML+75ML BODY MIST FREE(CHARMING),8888882200235,21.7,24.95,13.03%,7,Eau De Perfume – Men,W.J. TOWELL &  Co. LLC,ENCHANTEUR
6031338,LA FRESH HAIR NORMAL CRYSTAL GEL  300ML,5060071220122,2.1,2.95,28.93%,7,Hair Oils,BEERAN KUTTY GENERAL TRADING LLC,LA FRESH
6031339,LA FRESH HAIR EXTREME CRYSTAL GEL  300ML,5060071220146,2.1,2.75,23.81%,1,Hair Oils,BEERAN KUTTY GENERAL TRADING LLC,LA FRESH
6031439,ALS CHECK LUNGI,08603141539,14.26,18.9,24.57%,3,LUNGI,HOOR AL MADEENA TRADING LLC,NO BRAND
6031923,LUI TOMATO PASTE 198GM,6901009080014,1.25,1.95,36.03%,304,Cooking Sauce,A LIUSIE GENERAL TRADING L.L.C,LUI
6031930,SAFA ORANGE DRINK POWDER 750GM,6290050101770,9.0,10.95,17.82%,3,Powdered Drink,HASSANI TRADING COMPANY,SAFA
6031933,SADIA CHICKEN CHEESE FRANKS 340GM,8690451709472,5.8,6.95,16.53%,14,Minced Chicken,FEDERAL FOODS LLC,SADIA
6032020,AL MADINA CASHEW NUT W320 VIETNAM,32020,31.64,42.0,24.66%,38,ROASTERY CASHEW NUT,DIVYA INDUSTRIES GRAINS PROCESSING & PACKING LLC,DC BULK
6032315,DETTOL FRESH LATHER SHAVING CREAM 60GM +18 G EXTRA,8901396332114,3.41,5.95,42.64%,2,Shaving Cream,RECKITT BENCKISER ARABIA TRADING L.L.C,DETTOL
6032767,SAFA CAMEL MILK 500ML,6291115000021,10.82,11.9501,9.50%,6,Fresh Milk,STERILAC DAIRY CO.LLC,SAFA
6032772,TILAPIA - BIG,32772,7.2,10.99,34.45%,-1,FRESH FISH001,MALABAR STAR FOODSTUFF LLC,NO BRAND
6032928,DP119 LED SOLAR RECHARGEABLE LED LAMP,6939020470194,13.63,20.0,31.84%,1,Torches,GREEN KEY TRADING L.L.C,NO BRAND
6033248,AHLAM ARAB PERFUME N,642443426653,2.28,4.9991,54.48%,0,Eau De Perfume – Men,MARKET PURCHASE,ARD AL ZAAFARAN
6034491,COLOR PENCIL,6941271409991,1.84,3.0,38.75%,1,Colours,AL FAHIDI STATIONERY CENTRE,NO BRAND
6034595,WORLD BALL PAD LOCK 25MM IT-21106,8833296783626,2.36,4.95,52.28%,17,Locks,AL DAWYANI GENERAL TRADING CO. L.L.C,MARKET
6034635,FOAM PILLOW,08603461535,6.12,8.9996,31.94%,2,PILLOW,ESMAEIL MOHD BAYGAN FURNITURE TRDG. LLC,NO BRAND
6034895,BLANCO BONANZA TB 5 IN ONE -2100,6930660921008,6.72,8.9492,24.89%,15,Tooth Brushes,NEW BLANCO TRADING L.L.C,BLANCO
6035352,GEEPAS RICE COOKER GRC4325 1.LTR,6294010886233,63.0,79.0,20.25%,1,RICE COOKER,WESTERN INTERNATIONAL LLC,GEEPAS
6035757,VATIKA ARGAN HAIR OIL 200ML,6291069710380,5.76,7.5,23.19%,14,Hair Oils,FINE FAIR COMMERCIAL COMPLEX L.L.C,DABUR
6035758,VATIKA ARGAN HAIR OIL 300ML,6291069709995,12.34,14.5,14.90%,4,Hair Oils,FINE FAIR COMMERCIAL COMPLEX L.L.C,DABUR
6035779,FOGG ROLL ON ABSOLUTE 50ML,6291012244122,3.96,6.95,42.97%,-2,Mens Deodorants,FINE FAIR COMMERCIAL COMPLEX L.L.C,FOGG
6035780,FOGG ROLL ON STATUS 50ML,6291012244139,3.95,6.95,43.10%,2,Mens Deodorants,FINE FAIR COMMERCIAL COMPLEX L.L.C,FOGG
6035781,FOGG ROLL ON ULTIMATE 50ML,6291012244115,4.39,6.95,36.77%,-1,Mens Deodorants,FINE FAIR COMMERCIAL COMPLEX L.L.C,FOGG
6035782,FOGG ROLL ON BOLD 50ML,6291012244146,4.39,6.95,36.77%,2,Mens Deodorants,FINE FAIR COMMERCIAL COMPLEX L.L.C,FOGG
6035783,FOGG ROLL ON SPLENDID 50ML,6291012244153,4.07,6.95,41.44%,-1,Mens Deodorants,FINE FAIR COMMERCIAL COMPLEX L.L.C,FOGG
